antecedents,consequents,support,confidence,lift,business_score,business_strategy,execution_priority
TECNO CAMON 40 8/256 BLACK,"APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), OPPO A3X 4/128GB OCEAN BLUE",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"SAM TRAVEL ADAPTER (25W) WO CABLE-NEW, SAMSUNG GALAXY A06 4/64 BLUE +CHARGER","APP 20W USB-C POWER ADAPTER-ITS (NEW), SAMSUNG GALAXY A56 5G 12/256 OLIVE",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
TECNO CAMON 40 8/256 BLACK,"APP 20W USB-C POWER ADAPTER-ITS (NEW), MED LENS & SCREEN CLEANING WIPES (C), OPPO A3X 4/128GB OCEAN BLUE",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
TECNO CAMON 40 8/256 BLACK,"APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C), OPPO A3X 4/128GB OCEAN BLUE",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C)","OPPO A3X 4/128GB OCEAN BLUE, TECNO CAMON 40 8/256 BLACK",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"SAM TRAVEL ADAPTER (25W) WO CABLE-NEW, SAMSUNG GALAXY A06 4/64 BLUE +CHARGER","APP 20W USB-C POWER ADAPTER-ITS (NEW), MED LENS & SCREEN CLEANING WIPES (C), SAM GALAXY FIT3 - GRAY",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"SAM TRAVEL ADAPTER (25W) WO CABLE-NEW, SAMSUNG GALAXY A06 4/64 BLUE +CHARGER","APP 20W USB-C POWER ADAPTER-ITS (NEW), SAMSUNG GALAXY A56 5G 12/256 OLIVE, XIAOMI GTV 43 A PRO UHD QLED 2026",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"IT1 PC - USB A TO USB C, MED CLEANING WIPES LENS & SCREEN (S)","IPHONE 13 128GB STARLIGHT, MED LENS & SCREEN CLEANING WIPES (C), OPPO A5I 4/128GB RED",0.012,0.375,31.25,0.14062500000000003,Cross-Selling,Prioritas Tinggi
"IPHONE 13 128GB STARLIGHT, SAMSUNG GALAXY A07 4/128 BLACK +CHARGER","APP 20W USB-C POWER ADAPTER-ITS (NEW), VIVO Y19S PRO 4/128GB BLACK",0.012,0.42857142857142855,26.785714285714285,0.1377551020408163,Cross-Selling,Prioritas Tinggi
"APP 20W USB-C POWER ADAPTER-ITS (NEW), OPPO A3X 4/64GB OCEAN BLUE","IPHONE 13 128GB MIDNIGHT, IPHONE 13 128GB STARLIGHT, MED CLEANING WIPES LENS & SCREEN (S), MED LENS & SCREEN CLEANING WIPES (C)",0.012,0.42857142857142855,26.785714285714285,0.1377551020408163,Cross-Selling,Prioritas Tinggi
