tanggal_order,revenue,ma_3
2025-04-30,955628000,
2025-05-31,1059544000,
2025-06-30,1128793750,1047988583.3333334
2025-07-31,1925114100,1371150616.6666667
2025-08-31,1090426501,1381444783.6666667
2025-09-30,1416567750,1477369450.3333333
2025-10-31,1278404254,1261799501.6666667
2025-11-30,1520688500,1405220168.0
2025-12-31,418098000,1072396918.0
